"country","population_1970","area_km2","population_density","population_density_1970"
"United States Virgin Islands",63446,347,286.6427,182.84149855907782
"Uruguay",2790265,181034,18.9069,15.412933482108333
"Uzbekistan",12011361,447400,77.3975,26.84702950379973
"Vanuatu",87019,12189,26.8061,7.139141849208302
"Vatican City",752,1,510,752
"Venezuela",11355475,916445,30.882,12.390787226729373
"Vietnam",41928849,331212,296.4472,126.59217963117278
"Wallis and Futuna",9377,142,81.493,66.03521126760563
"Western Sahara",76371,266000,2.1654,0.287109022556391
"Yemen",6843607,527968,63.8232,12.962162479544215
"Zambia",4281671,752612,26.5976,5.6890814921898665
"Zimbabwe",5202918,390757,41.7665,13.31497068510609
